case_id,k,_n_nonterm,y,p
1-593737913,3,9,1,0.96001434
1-593737913,4,9,1,0.95911306
1-593737913,5,9,1,0.9528365
1-593737913,6,9,1,0.9524444
1-593737913,7,9,1,0.9758566
1-593737913,8,9,1,0.97611314
1-593737913,9,9,1,0.9732005
1-605956457,1,25,1,0.9631031
1-605956457,2,25,1,0.9635639
1-605956457,3,25,1,0.9643996
1-605956457,4,25,1,0.95410126
1-605956457,5,25,1,0.95615405
1-605956457,6,25,1,0.9743439
1-605956457,7,25,1,0.97481877
1-605956457,8,25,1,0.9756151
1-605956457,9,25,1,0.9756151
1-605956457,10,25,1,0.9753339
1-605956457,11,25,1,0.9744322
1-605956457,12,25,1,0.9743935
1-638841644,1,7,1,0.96035206
1-638841644,2,7,1,0.96035206
1-638841644,3,7,1,0.96345145
1-638841644,4,7,1,0.96316403
1-638841644,5,7,1,0.9632063
1-638841644,6,7,1,0.95192945
1-638841644,7,7,1,0.9724487
1-649830550,1,16,1,0.9445905
1-649830550,2,16,1,0.94457775
1-649830550,3,16,1,0.9449912
1-649830550,4,16,1,0.9610404
1-649830550,5,16,1,0.9611463
1-649830550,6,16,1,0.91229916
1-649830550,7,16,1,0.9655154
1-649830550,8,16,1,0.9654456
1-649830550,9,16,1,0.965817
1-649830550,10,16,1,0.97200465
1-649830550,11,16,1,0.97165495
1-649830550,12,16,1,0.9744255
1-657323705,1,5,1,0.96324337
1-657323705,2,5,1,0.9626056
1-657323705,3,5,1,0.9645635
1-657323705,4,5,1,0.97731817
1-657323705,5,5,1,0.97795975
1-686398767,1,9,1,0.95987505
1-686398767,2,9,1,0.95987505
1-686398767,3,9,1,0.9644537
1-686398767,4,9,1,0.96393335
1-686398767,5,9,1,0.96483606
1-686398767,6,9,1,0.96568155
1-686398767,7,9,1,0.9655875
1-686398767,8,9,1,0.96568155
1-686398767,9,9,1,0.96571434
1-686497432,1,53,1,0.9674344
1-686497432,2,53,1,0.9674344
1-686497432,3,53,1,0.9662982
1-686497432,4,53,1,0.96589136
1-686497432,5,53,1,0.9672742
1-686497432,6,53,1,0.9673638
1-686497432,7,53,1,0.9673638
1-686497432,8,53,1,0.97294736
1-686497432,9,53,1,0.97354084
1-686497432,10,53,1,0.9777264
1-686497432,11,53,1,0.9777264
1-686497432,12,53,1,0.9777264
1-687710013,1,5,1,0.95093775
1-687710013,2,5,1,0.95093775
1-687710013,3,5,1,0.9583848
1-687710013,4,5,1,0.93557286
1-687710013,5,5,1,0.9581117
1-691950241,1,13,1,0.96416724
1-691950241,2,13,1,0.96426046
1-691950241,3,13,1,0.9668648
1-691950241,4,13,1,0.975139
1-691950241,5,13,1,0.97584075
1-691950241,6,13,1,0.97584075
1-691950241,7,13,1,0.9779613
1-691950241,8,13,1,0.9779613
1-691950241,9,13,1,0.97697484
1-691950241,10,13,1,0.97795975
1-691950241,11,13,1,0.9775754
1-691950241,12,13,1,0.9776328
1-692918254,1,9,1,0.95927835
1-692918254,2,9,1,0.95886517
1-692918254,3,9,1,0.95860595
1-692918254,4,9,1,0.9755367
1-692918254,5,9,1,0.9759065
1-692918254,6,9,1,0.971396
1-692918254,7,9,1,0.96891946
1-692918254,8,9,1,0.9689376
1-692918254,9,9,1,0.96863717
1-695870591,1,16,1,0.9698636
1-695870591,2,16,1,0.96726125
1-695870591,3,16,1,0.9650454
1-695870591,4,16,1,0.96581787
1-695870591,5,16,1,0.96528214
1-695870591,6,16,1,0.9655933
1-695870591,7,16,1,0.96759063
1-695870591,8,16,1,0.9676793
1-695870591,9,16,1,0.96761113
1-695870591,10,16,1,0.96748215
1-695870591,11,16,1,0.96508706
1-695870591,12,16,1,0.96563387
1-696894381,1,3,1,0.93707657
1-696894381,2,3,1,0.93668133
1-696894381,3,3,1,0.9444476
1-699297808,1,4,1,0.9559338
1-699297808,2,4,1,0.9551806
1-699297808,3,4,1,0.95418316
1-699297808,4,4,1,0.9537563
1-699719677,1,10,1,0.9609259
1-699719677,2,10,1,0.9618988
1-699719677,3,10,1,0.966501
1-699719677,4,10,1,0.9716287
1-699719677,5,10,1,0.9652243
1-699719677,6,10,1,0.9711292
1-699719677,7,10,1,0.97738385
1-699719677,8,10,1,0.9777264
1-699719677,9,10,1,0.9776693
1-699719677,10,10,1,0.9776064
1-700370143,1,12,1,0.9602406
1-700370143,2,12,1,0.9602406
1-700370143,3,12,1,0.96465665
1-700370143,4,12,1,0.9658143
1-700370143,5,12,1,0.9659415
1-700370143,6,12,1,0.9662112
1-700370143,7,12,1,0.9667899
1-700370143,8,12,1,0.9777313
1-700370143,9,12,1,0.9777313
1-700370143,10,12,1,0.9777313
1-700370143,11,12,1,0.9756566
1-700370143,12,12,1,0.9729504
1-700955144,1,60,1,0.96299696
1-700955144,2,60,1,0.96299696
1-700955144,3,60,1,0.96265936
1-700955144,4,60,1,0.96865124
1-700955144,5,60,1,0.96915597
1-700955144,6,60,1,0.9692405
1-700955144,7,60,1,0.93471694
1-700955144,8,60,1,0.96296173
1-700955144,9,60,1,0.96331316
1-700955144,10,60,1,0.96963745
1-700955144,11,60,1,0.9696447
1-700955144,12,60,1,0.96993464
1-701820421,1,28,1,0.9598073
1-701820421,2,28,1,0.9599938
1-701820421,3,28,1,0.9656492
1-701820421,4,28,1,0.96611995
1-701820421,5,28,1,0.9328019
1-701820421,6,28,1,0.93837196
1-701820421,7,28,1,0.93821114
1-701820421,8,28,1,0.9679404
1-701820421,9,28,1,0.96820027
1-701820421,10,28,1,0.9685677
1-701820421,11,28,1,0.9687706
1-701820421,12,28,1,0.9690972
1-702586831,1,8,1,0.95851237
1-702586831,2,8,1,0.9592622
1-702586831,3,8,1,0.95938116
1-702586831,4,8,1,0.95885533
1-702586831,5,8,1,0.95929074
1-702586831,6,8,1,0.97828466
1-702586831,7,8,1,0.97758776
1-702586831,8,8,1,0.97720283
1-702667331,1,22,1,0.9572998
1-702667331,2,22,1,0.9581825
1-702667331,3,22,1,0.96157616
1-702667331,4,22,1,0.96102756
1-702667331,5,22,1,0.96144086
1-702667331,6,22,1,0.9666335
1-702667331,7,22,1,0.96654195
1-702667331,8,22,1,0.9666335
1-702667331,9,22,1,0.96654195
1-702667331,10,22,1,0.9669093
1-702667331,11,22,1,0.96681845
1-702667331,12,22,1,0.9669093
1-703263656,1,7,1,0.9624906
1-703263656,2,7,1,0.9624906
1-703263656,3,7,1,0.9647794
1-703263656,4,7,1,0.96543825
1-703263656,5,7,1,0.9662653
1-703263656,6,7,1,0.9647746
1-703263656,7,7,1,0.96560174
1-703547921,1,4,1,0.9579571
1-703547921,2,4,1,0.9576872
1-703547921,3,4,1,0.9749414
1-703547921,4,4,1,0.96979684
1-703999194,1,9,1,0.9602931
1-703999194,2,9,1,0.9610704
1-703999194,3,9,1,0.96256846
1-703999194,4,9,1,0.96361834
1-703999194,5,9,1,0.96327424
1-703999194,6,9,1,0.9633743
1-703999194,7,9,1,0.9627142
1-703999194,8,9,1,0.9633743
1-703999194,9,9,1,0.9531854
1-705739949,1,6,1,0.96022147
1-705739949,2,6,1,0.96022147
1-705739949,3,6,1,0.9648743
1-705739949,4,6,1,0.96727484
1-705739949,5,6,1,0.96047634
1-705739949,6,6,1,0.9630639
1-705791051,1,7,1,0.9682501
1-705791051,2,7,1,0.9658956
1-705791051,3,7,1,0.9667039
1-705791051,4,7,1,0.967159
1-705791051,5,7,1,0.96752733
1-705791051,6,7,1,0.96241176
1-705791051,7,7,1,0.9678946
1-705991296,1,25,1,0.9620891
1-705991296,2,25,1,0.9620891
1-705991296,3,25,1,0.96654195
1-705991296,4,25,1,0.96454406
1-705991296,5,25,1,0.96320754
1-705991296,6,25,1,0.9639358
1-705991296,7,25,1,0.9657729
1-705991296,8,25,1,0.9657747
1-705991296,9,25,1,0.966028
1-705991296,10,25,1,0.96729213
1-705991296,11,25,1,0.96747106
1-705991296,12,25,1,0.96747106
1-706221681,1,7,1,0.9679593
1-706221681,2,7,1,0.965537
1-706221681,3,7,1,0.9657239
1-706221681,4,7,1,0.9659272
1-706221681,5,7,1,0.96550035
1-706221681,6,7,1,0.96637547
1-706221681,7,7,1,0.9694112
1-707231563,1,20,1,0.9545416
1-707231563,2,20,1,0.9545416
1-707231563,3,20,1,0.95675755
1-707231563,4,20,1,0.9565614
1-707231563,5,20,1,0.956679
1-707231563,6,20,1,0.956861
1-707231563,7,20,1,0.9569778
1-707231563,8,20,1,0.963537
1-707231563,9,20,1,0.9636364
1-707231563,10,20,1,0.9767304
1-707231563,11,20,1,0.976348
1-707231563,12,20,1,0.9764084
1-708116786,1,4,1,0.9660986
1-708116786,2,4,1,0.9672993
1-708116786,3,4,1,0.9648022
1-708116786,4,4,1,0.97345597
1-708654057,1,21,1,0.96190906
1-708654057,2,21,1,0.96190906
1-708654057,3,21,1,0.9653657
1-708654057,4,21,1,0.9679073
1-708654057,5,21,1,0.9678514
1-708654057,6,21,1,0.9678878
1-708654057,7,21,1,0.96776474
1-708654057,8,21,1,0.96096826
1-708654057,9,21,1,0.9656572
1-708654057,10,21,1,0.9657683
1-708654057,11,21,1,0.9676618
1-708654057,12,21,1,0.9667514
1-708824660,1,21,1,0.9636862
1-708824660,2,21,1,0.9636862
1-708824660,3,21,1,0.9677001
1-708824660,4,21,1,0.9676798
1-708824660,5,21,1,0.96759105
1-708824660,6,21,1,0.9676798
1-708824660,7,21,1,0.96759105
1-708824660,8,21,1,0.9676798
1-708824660,9,21,1,0.9679996
1-708824660,10,21,1,0.9680873
1-708824660,11,21,1,0.9587649
1-708824660,12,21,1,0.965873
1-709542591,1,19,1,0.9736466
1-709542591,2,19,1,0.9699725
1-709542591,3,19,1,0.9687326
1-709542591,4,19,1,0.9689444
1-709542591,5,19,1,0.96870774
1-709542591,6,19,1,0.9695747
1-709542591,7,19,1,0.9700744
1-709542591,8,19,1,0.9717103
1-709542591,9,19,1,0.97157794
1-709542591,10,19,1,0.9717429
1-709542591,11,19,1,0.9717429
1-709542591,12,19,1,0.9718488
1-709544188,1,12,1,0.96270984
1-709544188,2,12,1,0.96355546
1-709544188,3,12,1,0.9644019
1-709544188,4,12,1,0.9581395
1-709544188,5,12,1,0.9592059
1-709544188,6,12,1,0.9536339
1-709544188,7,12,1,0.960935
1-709544188,8,12,1,0.966229
1-709544188,9,12,1,0.96652246
1-709544188,10,12,1,0.9661841
1-709544188,11,12,1,0.9661841
1-709544188,12,12,1,0.9632316
1-709663406,1,44,1,0.9621423
1-709663406,2,44,1,0.9621423
1-709663406,3,44,1,0.9610245
1-709663406,4,44,1,0.96501046
1-709663406,5,44,1,0.9696316
1-709663406,6,44,1,0.9747722
1-709663406,7,44,1,0.9755754
1-709663406,8,44,1,0.97551286
1-709663406,9,44,1,0.9755754
1-709663406,10,44,1,0.9750855
1-709663406,11,44,1,0.97594404
1-709663406,12,44,1,0.9751878
1-709758563,1,11,1,0.9710645
1-709758563,2,11,1,0.9710645
1-709758563,3,11,1,0.9703177
1-709758563,4,11,1,0.9685569
1-709758563,5,11,1,0.96838814
1-709758563,6,11,1,0.9686659
1-709758563,7,11,1,0.96893746
1-709758563,8,11,1,0.970337
1-709758563,9,11,1,0.9716742
1-709758563,10,11,1,0.95779556
1-709758563,11,11,1,0.9582184
1-709831036,1,12,1,0.9599875
1-709831036,2,12,1,0.9599875
1-709831036,3,12,1,0.9654799
1-709831036,4,12,1,0.9664302
1-709831036,5,12,1,0.966609
1-709831036,6,12,1,0.9659838
1-709831036,7,12,1,0.966609
1-709831036,8,12,1,0.9658207
1-709831036,9,12,1,0.9662104
1-709831036,10,12,1,0.96560216
1-709831036,11,12,1,0.9657517
1-709831036,12,12,1,0.97089696
1-710177495,1,50,1,0.9645128
1-710177495,2,50,1,0.9649178
1-710177495,3,50,1,0.9678632
1-710177495,4,50,1,0.9662252
1-710177495,5,50,1,0.967845
1-710177495,6,50,1,0.9726083
1-710177495,7,50,1,0.97232866
1-710177495,8,50,1,0.9722868
1-710177495,9,50,1,0.97315776
1-710177495,10,50,1,0.97370106
1-710177495,11,50,1,0.97370106
1-710177495,12,50,1,0.97370106
1-713472354,1,27,1,0.9628777
1-713472354,2,27,1,0.9628777
1-713472354,3,27,1,0.9550149
1-713472354,4,27,1,0.9622935
1-713472354,5,27,1,0.9629867
1-713472354,6,27,1,0.9630801
1-713472354,7,27,1,0.9597566
1-713472354,8,27,1,0.960595
1-713472354,9,27,1,0.96324223
1-713472354,10,27,1,0.9440054
1-713472354,11,27,1,0.9440972
1-713472354,12,27,1,0.9440972
1-715689451,1,3,1,0.95715165
1-715689451,2,3,1,0.95715165
1-715689451,3,3,1,0.9675157
1-715731471,1,19,1,0.96310776
1-715731471,2,19,1,0.96310776
1-715731471,3,19,1,0.964899
1-715731471,4,19,1,0.9658284
1-715731471,5,19,1,0.9670414
1-715731471,6,19,1,0.96829224
1-715731471,7,19,1,0.96882814
1-715731471,8,19,1,0.9683367
1-715731471,9,19,1,0.96833795
1-715731471,10,19,1,0.94822896
1-715731471,11,19,1,0.94928485
1-715731471,12,19,1,0.9451647
1-716114500,1,5,1,0.95713085
1-716114500,2,5,1,0.95713085
1-716114500,3,5,1,0.95961
1-716114500,4,5,1,0.96461153
1-716114500,5,5,1,0.9656304
1-716221928,1,22,1,0.9592543
1-716221928,2,22,1,0.960281
1-716221928,3,22,1,0.964183
1-716221928,4,22,1,0.9640961
1-716221928,5,22,1,0.9653525
1-716221928,6,22,1,0.9654471
1-716221928,7,22,1,0.9653525
1-716221928,8,22,1,0.9654471
1-716221928,9,22,1,0.96623915
1-716221928,10,22,1,0.9664062
1-716221928,11,22,1,0.9660895
1-716221928,12,22,1,0.9699452
1-716587209,1,10,1,0.95821327
1-716587209,2,10,1,0.95821327
1-716587209,3,10,1,0.9627237
1-716587209,4,10,1,0.96222484
1-716587209,5,10,1,0.9627156
1-716587209,6,10,1,0.97239214
1-716587209,7,10,1,0.97016215
1-716587209,8,10,1,0.9702379
1-716587209,9,10,1,0.9705231
1-716587209,10,10,1,0.9690568
1-717431477,1,8,1,0.96076375
1-717431477,2,8,1,0.96076375
1-717431477,3,8,1,0.9656804
1-717431477,4,8,1,0.96559215
1-717431477,5,8,1,0.9673333
1-717431477,6,8,1,0.9579575
1-717431477,7,8,1,0.96013796
1-717431477,8,8,1,0.9744338
1-717714208,1,13,1,0.96003836
1-717714208,2,13,1,0.96212333
1-717714208,3,13,1,0.96551603
1-717714208,4,13,1,0.9668314
1-717714208,5,13,1,0.96713024
1-717714208,6,13,1,0.95777565
1-717714208,7,13,1,0.9580426
1-717714208,8,13,1,0.95937675
1-717714208,9,13,1,0.95937675
1-717714208,10,13,1,0.9597721
1-717714208,11,13,1,0.9693275
1-717714208,12,13,1,0.96834713
1-717726137,1,5,1,0.9695248
1-717726137,2,5,1,0.9695248
1-717726137,3,5,1,0.9694642
1-717726137,4,5,1,0.9726734
1-717726137,5,5,1,0.97281986
1-717764374,1,6,1,0.96065074
1-717764374,2,6,1,0.9612262
1-717764374,3,6,1,0.9664834
1-717764374,4,6,1,0.96525574
1-717764374,5,6,1,0.9671011
1-717764374,6,6,1,0.9707374
1-717799091,1,22,1,0.9661794
1-717799091,2,22,1,0.96577114
1-717799091,3,22,1,0.9675904
1-717799091,4,22,1,0.9662076
1-717799091,5,22,1,0.9667869
1-717799091,6,22,1,0.96660465
1-717799091,7,22,1,0.9669789
1-717799091,8,22,1,0.97030747
1-717799091,9,22,1,0.9728705
1-717799091,10,22,1,0.9717591
1-717799091,11,22,1,0.9718309
1-717799091,12,22,1,0.97150177
1-717918204,1,3,1,0.95830894
1-717918204,2,3,1,0.9638243
1-717918204,3,3,1,0.9670213
1-718089090,1,3,1,0.9577953
1-718089090,2,3,1,0.9577953
1-718089090,3,3,1,0.9639635
1-718977997,1,9,1,0.95557564
1-718977997,2,9,1,0.95557564
1-718977997,3,9,1,0.95843375
1-718977997,4,9,1,0.96051204
1-718977997,5,9,1,0.9563494
1-718977997,6,9,1,0.96480554
1-718977997,7,9,1,0.96650463
1-718977997,8,9,1,0.8869692
1-718977997,9,9,1,0.8902358
1-719171831,1,30,1,0.9452288
1-719171831,2,30,1,0.948976
1-719171831,3,30,1,0.94900477
1-719171831,4,30,1,0.9486105
1-719171831,5,30,1,0.95909685
1-719171831,6,30,1,0.95949
1-719171831,7,30,1,0.95838
1-719171831,8,30,1,0.9584929
1-719171831,9,30,1,0.9615264
1-719171831,10,30,1,0.96150744
1-719171831,11,30,1,0.9616121
1-719171831,12,30,1,0.96150744
1-719199551,1,8,1,0.95786124
1-719199551,2,8,1,0.9572969
1-719199551,3,8,1,0.9600649
1-719199551,4,8,1,0.9605827
1-719199551,5,8,1,0.9612822
1-719199551,6,8,1,0.95833194
1-719199551,7,8,1,0.9704878
1-719199551,8,8,1,0.9735391
1-719278453,1,16,1,0.94979304
1-719278453,2,16,1,0.95051223
1-719278453,3,16,1,0.9513382
1-719278453,4,16,1,0.9659322
1-719278453,5,16,1,0.9663535
1-719278453,6,16,1,0.948268
1-719278453,7,16,1,0.94921577
1-719278453,8,16,1,0.95018893
1-719278453,9,16,1,0.9519276
1-719278453,10,16,1,0.9554419
1-719278453,11,16,1,0.9554419
1-719278453,12,16,1,0.9369179
1-719401266,1,22,1,0.9473867
1-719401266,2,22,1,0.95004696
1-719401266,3,22,1,0.9468706
1-719401266,4,22,1,0.9475848
1-719401266,5,22,1,0.95369166
1-719401266,6,22,1,0.95401
1-719401266,7,22,1,0.9541342
1-719401266,8,22,1,0.95340693
1-719401266,9,22,1,0.95353264
1-719401266,10,22,1,0.9617976
1-719401266,11,22,1,0.96453
1-719401266,12,22,1,0.9620864
1-719527701,1,11,1,0.9608967
1-719527701,2,11,1,0.9616837
1-719527701,3,11,1,0.9632117
1-719527701,4,11,1,0.96893173
1-719527701,5,11,1,0.9697205
1-719527701,6,11,1,0.9678551
1-719527701,7,11,1,0.9678551
1-719527701,8,11,1,0.940864
1-719527701,9,11,1,0.94707566
1-719527701,10,11,1,0.94390005
1-719527701,11,11,1,0.97343725
1-719562894,1,18,1,0.9562239
1-719562894,2,18,1,0.9562239
1-719562894,3,18,1,0.95900726
1-719562894,4,18,1,0.95788544
1-719562894,5,18,1,0.96016484
1-719562894,6,18,1,0.96105534
1-719562894,7,18,1,0.96173054
1-719562894,8,18,1,0.9623961
1-719562894,9,18,1,0.9585195
1-719562894,10,18,1,0.95764095
1-719562894,11,18,1,0.95775574
1-719562894,12,18,1,0.96388376
1-719604235,1,9,1,0.9546218
1-719604235,2,9,1,0.9568873
1-719604235,3,9,1,0.95711124
1-719604235,4,9,1,0.95501834
1-719604235,5,9,1,0.95564437
1-719604235,6,9,1,0.9586985
1-719604235,7,9,1,0.9628691
1-719604235,8,9,1,0.9659108
1-719604235,9,9,1,0.966004
1-719999107,1,12,1,0.9562405
1-719999107,2,12,1,0.9562405
1-719999107,3,12,1,0.95852345
1-719999107,4,12,1,0.95747906
1-719999107,5,12,1,0.95522064
1-719999107,6,12,1,0.95564926
1-719999107,7,12,1,0.95564926
1-719999107,8,12,1,0.9630683
1-719999107,9,12,1,0.9670751
1-719999107,10,12,1,0.9675345
1-719999107,11,12,1,0.9676683
1-719999107,12,12,1,0.968812
1-720238611,1,2,1,0.95689154
1-720238611,2,2,1,0.959526
1-720286653,1,5,1,0.95948
1-720286653,2,5,1,0.95948
1-720286653,3,5,1,0.9597259
1-720286653,4,5,1,0.96447146
1-720286653,5,5,1,0.9673371
1-720314291,1,4,1,0.95674807
1-720314291,2,4,1,0.95674807
1-720314291,3,4,1,0.9634144
1-720314291,4,4,1,0.9634144
1-720344447,1,8,1,0.9566253
1-720344447,2,8,1,0.9566253
1-720344447,3,8,1,0.852365
1-720344447,4,8,1,0.8628185
1-720344447,5,8,1,0.88228685
1-720344447,6,8,1,0.88255894
1-720344447,7,8,1,0.8975258
1-720344447,8,8,1,0.8957894
1-720348105,1,4,1,0.9636918
1-720348105,2,4,1,0.96331835
1-720348105,3,4,1,0.96190965
1-720348105,4,4,1,0.96965057
1-722031971,1,20,1,0.9620929
1-722031971,2,20,1,0.96195936
1-722031971,3,20,1,0.96359795
1-722031971,4,20,1,0.9637068
1-722031971,5,20,1,0.9651788
1-722031971,6,20,1,0.9666498
1-722031971,7,20,1,0.9602829
1-722031971,8,20,1,0.96232146
1-722031971,9,20,1,0.9628637
1-722031971,10,20,1,0.96301425
1-722031971,11,20,1,0.96268225
1-722031971,12,20,1,0.9223081
1-722332101,1,16,1,0.9601009
1-722332101,2,16,1,0.96291476
1-722332101,3,16,1,0.96440005
1-722332101,4,16,1,0.9653194
1-722332101,5,16,1,0.96541405
1-722332101,6,16,1,0.96485907
1-722332101,7,16,1,0.96495503
1-722332101,8,16,1,0.96495503
1-722332101,9,16,1,0.886882
1-722332101,10,16,1,0.886882
1-722332101,11,16,1,0.86635
1-722332101,12,16,1,0.8676289
1-722362086,1,71,1,0.96075845
1-722362086,2,71,1,0.96075845
1-722362086,3,71,1,0.96288866
1-722362086,4,71,1,0.96424884
1-722362086,5,71,1,0.96394044
1-722362086,6,71,1,0.964123
1-722362086,7,71,1,0.9642209
1-722362086,8,71,1,0.96785605
1-722362086,9,71,1,0.96763045
1-722362086,10,71,1,0.9677191
1-722362086,11,71,1,0.96594477
1-722362086,12,71,1,0.96733373
1-722415150,1,20,1,0.9601928
1-722415150,2,20,1,0.9601928
1-722415150,3,20,1,0.9638678
1-722415150,4,20,1,0.9627378
1-722415150,5,20,1,0.96283925
1-722415150,6,20,1,0.9657489
1-722415150,7,20,1,0.96361125
1-722415150,8,20,1,0.96284646
1-722415150,9,20,1,0.96304905
1-722415150,10,20,1,0.96363926
1-722415150,11,20,1,0.8287665
1-722415150,12,20,1,0.7996237
1-722499503,1,16,1,0.96196544
1-722499503,2,16,1,0.9626837
1-722499503,3,16,1,0.9635779
1-722499503,4,16,1,0.9669269
1-722499503,5,16,1,0.9677076
1-722499503,6,16,1,0.9366031
1-722499503,7,16,1,0.93712187
1-722499503,8,16,1,0.9333694
1-722499503,9,16,1,0.9334297
1-722499503,10,16,1,0.9334297
1-722499503,11,16,1,0.9334297
1-722499503,12,16,1,0.92978925
1-722557526,1,8,1,0.9595867
1-722557526,2,8,1,0.9595867
1-722557526,3,8,1,0.9650097
1-722557526,4,8,1,0.96535915
1-722557526,5,8,1,0.9659741
1-722557526,6,8,1,0.97203785
1-722557526,7,8,1,0.96997917
1-722557526,8,8,1,0.96997917
1-722557908,1,8,1,0.93805444
1-722557908,2,8,1,0.93805444
1-722557908,3,8,1,0.94468814
1-722557908,4,8,1,0.9465467
1-722557908,5,8,1,0.94653374
1-722557908,6,8,1,0.9451877
1-722557908,7,8,1,0.94533426
1-722557908,8,8,1,0.96893084
1-722563391,1,55,1,0.964547
1-722563391,2,55,1,0.9633803
1-722563391,3,55,1,0.9633341
1-722563391,4,55,1,0.9659086
1-722563391,5,55,1,0.96542424
1-722563391,6,55,1,0.9664588
1-722563391,7,55,1,0.9660791
1-722563391,8,55,1,0.96600026
1-722563391,9,55,1,0.96558183
1-722563391,10,55,1,0.96520317
1-722563391,11,55,1,0.91782856
1-722563391,12,55,1,0.91923374
1-722591617,1,4,1,0.95908344
1-722591617,2,4,1,0.95882034
1-722591617,3,4,1,0.96370435
1-722591617,4,4,1,0.9624958
1-726614295,1,6,1,0.9565293
1-726614295,2,6,1,0.9617007
1-726614295,3,6,1,0.9656326
1-726614295,4,6,1,0.965915
1-726614295,5,6,1,0.9651235
1-726614295,6,6,1,0.9656326
1-726625502,1,12,1,0.9604861
1-726625502,2,12,1,0.9604861
1-726625502,3,12,1,0.9648304
1-726625502,4,12,1,0.9632674
1-726625502,5,12,1,0.9636241
1-726625502,6,12,1,0.96593183
1-726625502,7,12,1,0.9661856
1-726625502,8,12,1,0.9366098
1-726625502,9,12,1,0.9366098
1-726625502,10,12,1,0.92882204
1-726625502,11,12,1,0.92946064
1-726625502,12,12,1,0.97098416
1-726777605,1,13,1,0.96179867
1-726777605,2,13,1,0.96179867
1-726777605,3,13,1,0.966203
1-726777605,4,13,1,0.9664351
1-726777605,5,13,1,0.9665268
1-726777605,6,13,1,0.9667486
1-726777605,7,13,1,0.96665734
1-726777605,8,13,1,0.9665695
1-726777605,9,13,1,0.96706265
1-726777605,10,13,1,0.96712655
1-726777605,11,13,1,0.9383435
1-726777605,12,13,1,0.93903613
1-726834518,1,10,1,0.96432173
1-726834518,2,10,1,0.963702
1-726834518,3,10,1,0.96458834
1-726834518,4,10,1,0.96432275
1-726834518,5,10,1,0.96696085
1-726834518,6,10,1,0.9686321
1-726834518,7,10,1,0.9664061
1-726834518,8,10,1,0.966314
1-726834518,9,10,1,0.9664061
1-726834518,10,10,1,0.92688
1-726923786,1,4,1,0.9598056
1-726923786,2,4,1,0.9608189
1-726923786,3,4,1,0.96547246
1-726923786,4,4,1,0.966174
1-727152027,1,14,1,0.9598903
1-727152027,2,14,1,0.9598903
1-727152027,3,14,1,0.9604365
1-727152027,4,14,1,0.96050435
